date,support
10/23/13,9.134920635
10/24/13,9.117687075
10/25/13,9.100453515
10/26/13,9.083219955
10/27/13,9.065986395
10/28/13,9.069160998
10/29/13,9.072335601
10/30/13,9.075510204
10/31/13,9.070748299
11/1/13,9.065986395
11/2/13,9.06122449
11/3/13,9.056462585
11/4/13,9.05170068
11/5/13,9.046938776
11/6/13,9.042176871
11/7/13,9.045918367
11/8/13,9.049659864
11/9/13,9.067006803
11/10/13,9.084353741
11/11/13,9.10170068
11/12/13,9.119047619
11/13/13,9.166156463
11/14/13,9.192857143
11/15/13,9.219557823
11/16/13,9.246258503
11/17/13,9.272959184
11/18/13,9.299659864
11/19/13,9.326360544
11/20/13,9.353061224
11/21/13,9.35170068
11/22/13,9.350340136
11/23/13,9.348979592
11/24/13,9.347619048
11/25/13,9.346258503
11/26/13,9.344897959
11/27/13,9.343537415
11/28/13,9.358998145
11/29/13,9.374458874
11/30/13,9.383116883
12/1/13,9.391774892
12/2/13,9.4004329
12/3/13,9.409090909
12/4/13,9.405844156
12/5/13,9.402597403
12/6/13,9.38982684
12/7/13,9.377056277
12/8/13,9.364285714
12/9/13,9.351515152
12/10/13,9.329816017
12/11/13,9.308116883
12/12/13,9.286417749
12/13/13,9.264718615
12/14/13,9.243019481
12/15/13,9.221320346
12/16/13,9.199621212
12/17/13,9.177922078
12/18/13,9.172294372
12/19/13,9.166666667
12/20/13,9.162543554
12/21/13,9.167944251
12/22/13,9.173344948
12/23/13,9.178745645
12/24/13,9.184146341
12/25/13,9.189547038
12/26/13,9.194947735
12/27/13,9.200348432
12/28/13,9.205749129
12/29/13,9.211149826
12/30/13,9.216550523
12/31/13,9.22195122
1/1/14,9.227351916
1/2/14,9.232752613
1/3/14,9.23815331
1/4/14,9.243554007
1/5/14,9.248954704
1/6/14,9.254355401
1/7/14,9.242409159
1/8/14,9.230462917
1/9/14,9.218516675
1/10/14,9.206570433
1/11/14,9.194624191
1/12/14,9.182677949
1/13/14,9.191139871
1/14/14,9.201869366
1/15/14,9.212598861
1/16/14,9.223328356
1/17/14,9.234057851
1/18/14,9.234583264
1/19/14,9.235108678
1/20/14,9.194817765
1/21/14,9.154526851
1/22/14,9.114235938
1/23/14,9.047187656
1/24/14,8.980139373
1/25/14,8.91309109
1/26/14,8.846042807
1/27/14,8.819810851
1/28/14,8.818068691
1/29/14,8.816326531
1/30/14,8.839981447
1/31/14,8.863636364
2/1/14,8.928107607
2/2/14,8.99257885
2/3/14,9.016233766
2/4/14,9.038613173
2/5/14,9.060992579
2/6/14,9.103780148
2/7/14,9.122758194
2/8/14,9.14173624
2/9/14,9.160714286
2/10/14,9.220508658
2/11/14,9.28030303
2/12/14,9.343073593
2/13/14,9.385435993
2/14/14,9.427798392
2/15/14,9.470160792
2/16/14,9.512523191
2/17/14,9.534477427
2/18/14,9.526669759
2/19/14,9.51886209
2/20/14,9.511054422
2/21/14,9.5
2/22/14,9.482142857
2/23/14,9.464285714
2/24/14,9.446428571
2/25/14,9.428571429
2/26/14,9.445578231
2/27/14,9.482993197
2/28/14,9.520408163
3/1/14,9.557823129
3/2/14,9.595238095
3/3/14,9.632653061
3/4/14,9.670068027
3/5/14,9.676870748
3/6/14,9.642857143
3/7/14,9.602350031
3/8/14,9.561842919
3/9/14,9.521335807
3/10/14,9.480828695
3/11/14,9.440321583
3/12/14,9.447008349
3/13/14,9.474103278
3/14/14,9.501198207
3/15/14,9.528293135
3/16/14,9.555388064
3/17/14,9.582482993
3/18/14,9.609577922
3/19/14,9.62987013
3/20/14,9.618274583
3/21/14,9.606679035
3/22/14,9.595083488
3/23/14,9.583487941
3/24/14,9.571892393
3/25/14,9.560296846
3/26/14,9.548701299
3/27/14,9.513296228
3/28/14,9.477891156
3/29/14,9.472789116
3/30/14,9.467687075
3/31/14,9.462585034
4/1/14,9.457482993
4/2/14,9.496598639
4/3/14,9.535714286
4/4/14,9.557513915
4/5/14,9.579313544
4/6/14,9.601113173
4/7/14,9.622912801
4/8/14,9.64471243
4/9/14,9.646103896
4/10/14,9.647495362
4/11/14,9.648886827
4/12/14,9.650278293
4/13/14,9.651669759
4/14/14,9.632653061
4/15/14,9.597763348
4/16/14,9.562873634
4/17/14,9.527794956
4/18/14,9.492716278
4/19/14,9.4576376
4/20/14,9.422558923
4/21/14,9.428296571
4/22/14,9.43403422
4/23/14,9.439771868
4/24/14,9.437573009
4/25/14,9.43537415
4/26/14,9.398110355
4/27/14,9.360846561
4/28/14,9.303174603
4/29/14,9.245502646
4/30/14,9.229497354
5/1/14,9.242063492
5/2/14,9.25462963
5/3/14,9.267195767
5/4/14,9.279761905
5/5/14,9.271919879
5/6/14,9.281934996
5/7/14,9.291950113
5/8/14,9.284108088
5/9/14,9.276266062
5/10/14,9.263133031
5/11/14,9.25
5/12/14,9.277683296
5/13/14,9.305366591
5/14/14,9.296674225
5/15/14,9.287981859
5/16/14,9.279289494
5/17/14,9.270597128
5/18/14,9.261904762
5/19/14,9.232804233
5/20/14,9.227513228
5/21/14,9.222222222
5/22/14,9.216931217
5/23/14,9.211640212
5/24/14,9.206349206
5/25/14,9.201058201
5/26/14,9.195767196
5/27/14,9.19047619
5/28/14,9.185185185
5/29/14,9.17989418
5/30/14,9.174603175
5/31/14,9.169312169
6/1/14,9.164021164
6/2/14,9.158730159
6/3/14,9.153439153
6/4/14,9.148148148
6/5/14,9.142857143
6/6/14,9.133333333
6/7/14,9.123809524
6/8/14,9.114285714
6/9/14,9.104761905
