date,support
10/23/13,5.045124717
10/24/13,5.05170068
10/25/13,5.058276644
10/26/13,5.049101692
10/27/13,5.03992674
10/28/13,5.030751788
10/29/13,5.021576836
10/30/13,5.012401884
10/31/13,4.985086342
11/1/13,4.957770801
11/2/13,4.930455259
11/3/13,4.903139717
11/4/13,4.875824176
11/5/13,4.848508634
11/6/13,4.821193093
11/7/13,4.815986395
11/8/13,4.821768707
11/9/13,4.82755102
11/10/13,4.833333333
11/11/13,4.839115646
11/12/13,4.844897959
11/13/13,4.83877551
11/14/13,4.832653061
11/15/13,4.826530612
11/16/13,4.820408163
11/17/13,4.814285714
11/18/13,4.808163265
11/19/13,4.802040816
11/20/13,4.793197279
11/21/13,4.77414966
11/22/13,4.755102041
11/23/13,4.736054422
11/24/13,4.717006803
11/25/13,4.697959184
11/26/13,4.678911565
11/27/13,4.659863946
11/28/13,4.649814471
11/29/13,4.639764997
11/30/13,4.619511441
12/1/13,4.599257885
12/2/13,4.579004329
12/3/13,4.558750773
12/4/13,4.550401979
12/5/13,4.542053185
12/6/13,4.533704391
12/7/13,4.525355597
12/8/13,4.517006803
12/9/13,4.508658009
12/10/13,4.479475881
12/11/13,4.457096475
12/12/13,4.434717069
12/13/13,4.412337662
12/14/13,4.400162338
12/15/13,4.387987013
12/16/13,4.375811688
12/17/13,4.363636364
12/18/13,4.358008658
12/19/13,4.352380952
12/20/13,4.35174216
12/21/13,4.351103368
12/22/13,4.350464576
12/23/13,4.349825784
12/24/13,4.349186992
12/25/13,4.3485482
12/26/13,4.347909408
12/27/13,4.347270616
12/28/13,4.346631823
12/29/13,4.345993031
12/30/13,4.345354239
12/31/13,4.344715447
1/1/14,4.344076655
1/2/14,4.373369836
1/3/14,4.402663016
1/4/14,4.431956197
1/5/14,4.461249378
1/6/14,4.490542558
1/7/14,4.492284719
1/8/14,4.494026879
1/9/14,4.475360876
1/10/14,4.456694873
1/11/14,4.43802887
1/12/14,4.419362867
1/13/14,4.400696864
1/14/14,4.402439024
1/15/14,4.404181185
1/16/14,4.385515182
1/17/14,4.366849179
1/18/14,4.348183176
1/19/14,4.329517173
1/20/14,4.290443006
1/21/14,4.25136884
1/22/14,4.216376307
1/23/14,4.201791936
1/24/14,4.187207566
1/25/14,4.172623196
1/26/14,4.158038825
1/27/14,4.163862618
1/28/14,4.190094574
1/29/14,4.216326531
1/30/14,4.240816327
1/31/14,4.265306122
2/1/14,4.313605442
2/2/14,4.361904762
2/3/14,4.410204082
2/4/14,4.438095238
2/5/14,4.465986395
2/6/14,4.493877551
2/7/14,4.497959184
2/8/14,4.502040816
2/9/14,4.506122449
2/10/14,4.530612245
2/11/14,4.555102041
2/12/14,4.579591837
2/13/14,4.624489796
2/14/14,4.669387755
2/15/14,4.714285714
2/16/14,4.759183673
2/17/14,4.783673469
2/18/14,4.817091837
2/19/14,4.850510204
2/20/14,4.863520408
2/21/14,4.876530612
2/22/14,4.889540816
2/23/14,4.90255102
2/24/14,4.915561224
2/25/14,4.928571429
2/26/14,4.918367347
2/27/14,4.928571429
2/28/14,4.93877551
3/1/14,4.925170068
3/2/14,4.911564626
3/3/14,4.897959184
3/4/14,4.884353741
3/5/14,4.891156463
3/6/14,4.857142857
3/7/14,4.853432282
3/8/14,4.849721707
3/9/14,4.846011132
3/10/14,4.842300557
3/11/14,4.838589981
3/12/14,4.815746753
3/13/14,4.813311688
3/14/14,4.810876623
3/15/14,4.81864564
3/16/14,4.826414657
3/17/14,4.834183673
3/18/14,4.84195269
3/19/14,4.854647815
3/20/14,4.876271512
3/21/14,4.897895208
3/22/14,4.919518905
3/23/14,4.941142601
3/24/14,4.962766298
3/25/14,4.984389994
3/26/14,5.006013691
3/27/14,5.048045551
3/28/14,5.09007741
3/29/14,5.1052076
3/30/14,5.12033779
3/31/14,5.155876144
4/1/14,5.191414497
4/2/14,5.247361013
4/3/14,5.262491203
4/4/14,5.277621393
4/5/14,5.292751583
4/6/14,5.307881773
4/7/14,5.3026038
4/8/14,5.297325827
4/9/14,5.259734928
4/10/14,5.266361717
4/11/14,5.272988506
4/12/14,5.289819376
4/13/14,5.306650246
4/14/14,5.323481117
4/15/14,5.344280241
4/16/14,5.323412698
4/17/14,5.294879063
4/18/14,5.266345427
4/19/14,5.237811791
4/20/14,5.209278156
4/21/14,5.160336357
4/22/14,5.111394558
4/23/14,5.062452759
4/24/14,5.075018896
4/25/14,5.087585034
4/26/14,5.100151172
4/27/14,5.112717309
4/28/14,5.14569161
4/29/14,5.178665911
4/30/14,5.146164021
5/1/14,5.122590703
5/2/14,5.099017385
5/3/14,5.075444067
5/4/14,5.051870748
5/5/14,5.02829743
5/6/14,5.025557445
5/7/14,5.02281746
5/8/14,5.058342782
5/9/14,5.093868103
5/10/14,5.134684429
5/11/14,5.175500756
5/12/14,5.236725246
5/13/14,5.297949735
5/14/14,5.347033258
5/15/14,5.375088098
5/16/14,5.403142939
5/17/14,5.429412065
5/18/14,5.455681191
5/19/14,5.461542154
5/20/14,5.497165022
5/21/14,5.53278789
5/22/14,5.568410758
5/23/14,5.604033625
5/24/14,5.639656493
5/25/14,5.675279361
5/26/14,5.710902229
5/27/14,5.746525097
5/28/14,5.800005107
5/29/14,5.853485118
5/30/14,5.906965128
5/31/14,5.960445139
6/1/14,6.01392515
6/2/14,6.087813324
6/3/14,6.161701497
6/4/14,6.244518243
6/5/14,6.291620702
6/6/14,6.323258996
6/7/14,6.354897291
6/8/14,6.386535585
6/9/14,6.377357552
6/10/14,6.36817952
6/11/14,6.359001488
6/12/14,6.302799646
6/13/14,6.246597804
6/14/14,6.190395962
6/15/14,6.13419412
6/16/14,6.118808605
6/17/14,6.117708803
6/18/14,6.140418526
6/19/14,6.163128249
6/20/14,6.185837972
6/21/14,6.205151991
6/22/14,6.22446601
6/23/14,6.223371866
6/24/14,6.222277722
6/25/14,6.212680177
6/26/14,6.203082632
6/27/14,6.193485086
6/28/14,6.170591313
6/29/14,6.147697541
6/30/14,6.104395604
7/1/14,6.052165097
7/2/14,5.999934589
7/3/14,5.927295918
7/4/14,5.856122449
7/5/14,5.78494898
7/6/14,5.71377551
7/7/14,5.642602041
7/8/14,5.571428571
7/9/14,5.521088435
7/10/14,5.491156463
7/11/14,5.46122449
7/12/14,5.431292517
7/13/14,5.401360544
7/14/14,5.391836735
7/15/14,5.370408163
7/16/14,5.348979592
7/17/14,5.309183673
7/18/14,5.269387755
7/19/14,5.248979592
7/20/14,5.228571429
7/21/14,5.208163265
7/22/14,5.187755102
7/23/14,5.167346939
7/24/14,5.143537415
7/25/14,5.119727891
7/26/14,5.095918367
7/27/14,5.072108844
7/28/14,5.04829932
7/29/14,5.024489796
7/30/14,5.014285714
7/31/14,5.004081633
8/1/14,4.993877551
8/2/14,4.983673469
8/3/14,4.973469388
8/4/14,4.963265306
8/5/14,4.953061224
8/6/14,4.970918367
8/7/14,4.98877551
8/8/14,4.999489796
8/9/14,5.010204082
8/10/14,5.020918367
8/11/14,5.01122449
8/12/14,5.001530612
8/13/14,4.991836735
8/14/14,4.954081633
8/15/14,4.916326531
8/16/14,4.878571429
8/17/14,4.840816327
8/18/14,4.823469388
8/19/14,4.806122449
8/20/14,4.814285714
8/21/14,4.830612245
8/22/14,4.846938776
8/23/14,4.887755102
8/24/14,4.928571429
8/25/14,4.989795918
8/26/14,5.051020408
8/27/14,5.112244898
8/28/14,5.197278912
8/29/14,5.282312925
8/30/14,5.414965986
8/31/14,5.547619048
9/1/14,5.680272109
9/2/14,5.81292517
9/3/14,5.921768707
9/4/14,6.071428571
9/5/14,6.179962894
9/6/14,6.274891775
9/7/14,6.369820656
9/8/14,6.464749536
9/9/14,6.559678417
9/10/14,6.654607297
9/11/14,6.732529375
9/12/14,6.810451453
9/13/14,6.888373531
9/14/14,6.966295609
9/15/14,7.044217687
9/16/14,7.122139765
9/17/14,7.194109462
9/18/14,7.341709411
9/19/14,7.48930936
9/20/14,7.636909309
9/21/14,7.784509258
9/22/14,7.911701044
9/23/14,8.03889283
