date,support
10/23/13,8.933333333
10/24/13,8.994557823
10/25/13,9.055782313
10/26/13,9.118472004
10/27/13,9.181161695
10/28/13,9.20303506
10/29/13,9.224908425
10/30/13,9.24678179
10/31/13,9.258451073
11/1/13,9.270120356
11/2/13,9.281789639
11/3/13,9.293458922
11/4/13,9.345944532
11/5/13,9.398430141
11/6/13,9.450915751
11/7/13,9.505102041
11/8/13,9.54829932
11/9/13,9.577891156
11/10/13,9.607482993
11/11/13,9.616666667
11/12/13,9.62585034
11/13/13,9.605272109
11/14/13,9.605102041
11/15/13,9.604931973
11/16/13,9.604761905
11/17/13,9.604591837
11/18/13,9.604421769
11/19/13,9.604251701
11/20/13,9.610884354
11/21/13,9.604761905
11/22/13,9.598639456
11/23/13,9.592517007
11/24/13,9.586394558
11/25/13,9.559863946
11/26/13,9.533333333
11/27/13,9.506802721
11/28/13,9.521954236
11/29/13,9.537105751
11/30/13,9.569264069
12/1/13,9.601422387
12/2/13,9.653988868
12/3/13,9.706555349
12/4/13,9.723407545
12/5/13,9.699443414
12/6/13,9.665955473
12/7/13,9.632467532
12/8/13,9.598979592
12/9/13,9.565491651
12/10/13,9.537956092
12/11/13,9.50021645
12/12/13,9.482884972
12/13/13,9.465553494
12/14/13,9.438017934
12/15/13,9.410482375
12/16/13,9.382946815
12/17/13,9.355411255
12/18/13,9.355256648
12/19/13,9.355102041
12/20/13,9.34995852
12/21/13,9.354338809
12/22/13,9.358719097
12/23/13,9.363099386
12/24/13,9.367479675
12/25/13,9.371859963
12/26/13,9.376240252
12/27/13,9.380620541
12/28/13,9.38500083
12/29/13,9.389381118
12/30/13,9.393761407
12/31/13,9.398141696
1/1/14,9.402521984
1/2/14,9.397378464
1/3/14,9.392234943
1/4/14,9.387091422
1/5/14,9.381947901
1/6/14,9.37680438
1/7/14,9.392069023
1/8/14,9.407333665
1/9/14,9.422598308
1/10/14,9.43786295
1/11/14,9.453127593
1/12/14,9.468392235
1/13/14,9.463248714
1/14/14,9.429760522
1/15/14,9.39627233
1/16/14,9.362784138
1/17/14,9.329295946
1/18/14,9.306011836
1/19/14,9.282727725
1/20/14,9.300259941
1/21/14,9.317792158
1/22/14,9.346889
1/23/14,9.404330513
1/24/14,9.461772026
1/25/14,9.519213539
1/26/14,9.576655052
1/27/14,9.613688402
1/28/14,9.650721752
1/29/14,9.687755102
1/30/14,9.688961039
1/31/14,9.690166976
2/1/14,9.681168831
2/2/14,9.672170686
2/3/14,9.683580705
2/4/14,9.686062152
2/5/14,9.688543599
2/6/14,9.71143321
2/7/14,9.740816327
2/8/14,9.770199443
2/9/14,9.79958256
2/10/14,9.828965677
2/11/14,9.858348794
2/12/14,9.920470006
2/13/14,9.982591218
2/14/14,10.04471243
2/15/14,10.10683364
2/16/14,10.16895485
2/17/14,10.19025974
2/18/14,10.1877551
2/19/14,10.18525046
2/20/14,10.18274583
2/21/14,10.17434893
2/22/14,10.16595204
2/23/14,10.15755514
2/24/14,10.16956641
2/25/14,10.18157768
2/26/14,10.20583385
2/27/14,10.23009002
