election,sample_size,institute,date,party,support,election_date,days_to_election
1953,,allensbach,1951-04-15,lin,,1953-09-06,875
1953,,allensbach,1950-05-15,fdp,14,1953-09-06,1210
1953,,allensbach,1950-07-15,fdp,15,1953-09-06,1149
1953,,allensbach,1951-06-15,spd,37,1953-09-06,814
1953,,allensbach,1953-05-15,fdp,12,1953-09-06,114
1953,,allensbach,1950-12-15,lin,,1953-09-06,996
1953,,allensbach,1952-07-15,fdp,15,1953-09-06,418
1953,,allensbach,1953-01-15,fdp,15,1953-09-06,234
1953,,allensbach,1953-05-15,lin,,1953-09-06,114
1953,,allensbach,1950-04-15,lin,,1953-09-06,1240
1953,,allensbach,1953-04-15,fdp,14,1953-09-06,144
1953,,allensbach,1952-02-15,fdp,14,1953-09-06,569
1953,,allensbach,1953-02-15,fdp,16,1953-09-06,203
1953,,allensbach,1952-02-15,spd,34,1953-09-06,569
1953,,allensbach,1952-01-15,spd,40,1953-09-06,600
1953,,allensbach,1950-03-15,fdp,17,1953-09-06,1271
1953,,allensbach,1950-08-15,spd,32,1953-09-06,1118
1953,,allensbach,1952-07-15,lin,,1953-09-06,418
1953,,allensbach,1953-02-15,lin,,1953-09-06,203
1953,,allensbach,1950-04-15,spd,32,1953-09-06,1240
1953,,allensbach,1953-08-15,oth,19,1953-09-06,22
1953,,allensbach,1950-07-15,spd,32,1953-09-06,1149
1953,,allensbach,1950-04-15,fdp,17,1953-09-06,1240
1953,,allensbach,1953-06-15,lin,,1953-09-06,83
1953,,allensbach,1953-07-15,oth,17,1953-09-06,53
1953,,allensbach,1952-06-15,fdp,13,1953-09-06,448
1953,,allensbach,1953-03-15,fdp,12,1953-09-06,175
1953,,allensbach,1950-08-15,fdp,16,1953-09-06,1118
1953,,allensbach,1951-09-15,spd,38,1953-09-06,722
1953,,allensbach,1950-09-15,fdp,15,1953-09-06,1087
1953,,allensbach,1953-07-15,lin,,1953-09-06,53
1953,,allensbach,1950-01-15,spd,31,1953-09-06,1330
1953,,allensbach,1952-04-15,fdp,12,1953-09-06,509
1953,,allensbach,1953-08-15,lin,,1953-09-06,22
1957,,allensbach,1957-07-15,fdp,8,1957-09-15,62
1957,,allensbach,1957-04-15,lin,,1957-09-15,153
1957,,allensbach,1957-05-15,spd,39,1957-09-15,123
1957,,allensbach,1955-06-15,spd,33,1957-09-15,823
1957,,allensbach,1957-07-15,spd,37,1957-09-15,62
1957,,allensbach,1955-05-15,gru,,1957-09-15,854
1957,,allensbach,1957-05-15,fdp,8,1957-09-15,123
1957,,allensbach,1957-04-15,fdp,9,1957-09-15,153
1957,,allensbach,1954-02-15,spd,30,1957-09-15,1308
1957,,allensbach,1957-05-15,lin,,1957-09-15,123
1957,,allensbach,1957-03-15,lin,,1957-09-15,184
1957,,allensbach,1955-05-15,spd,33,1957-09-15,854
1957,,allensbach,1957-02-15,lin,,1957-09-15,212
1957,,allensbach,1956-03-15,lin,,1957-09-15,549
1957,,allensbach,1955-08-15,spd,36,1957-09-15,762
1957,,allensbach,1957-08-15,fdp,7,1957-09-15,31
1957,,allensbach,1954-09-15,spd,31,1957-09-15,1096
1957,,allensbach,1956-03-15,spd,35,1957-09-15,549
1957,,allensbach,1954-02-15,gru,,1957-09-15,1308
1957,,allensbach,1957-08-15,spd,36,1957-09-15,31
1957,,allensbach,1954-01-15,gru,,1957-09-15,1339
1957,,allensbach,1954-12-15,lin,,1957-09-15,1005
1957,,allensbach,1956-09-15,spd,40,1957-09-15,365
1957,,allensbach,1957-07-15,lin,,1957-09-15,62
1957,1800,allensbach,1957-09-14,fdp,7,1957-09-15,1
1957,,allensbach,1956-12-15,lin,,1957-09-15,274
1957,,allensbach,1956-01-15,spd,36,1957-09-15,609
1957,,allensbach,1955-12-15,spd,33,1957-09-15,640
1957,,allensbach,1955-09-15,spd,31,1957-09-15,731
1957,,allensbach,1957-04-15,gru,,1957-09-15,153
1957,,allensbach,1954-01-15,oth,13,1957-09-15,1339
1957,,allensbach,1956-03-15,oth,12,1957-09-15,549
1957,,allensbach,1953-10-15,gru,,1957-09-15,1431
1957,,allensbach,1954-02-15,oth,13,1957-09-15,1308
1957,,allensbach,1957-01-15,lin,,1957-09-15,243
1957,,allensbach,1954-11-15,spd,33,1957-09-15,1035
1957,,allensbach,1956-04-15,spd,35,1957-09-15,518
1957,,allensbach,1954-03-15,spd,30,1957-09-15,1280
1957,,allensbach,1954-04-15,spd,31,1957-09-15,1249
1957,,allensbach,1956-04-15,lin,,1957-09-15,518
1957,,allensbach,1953-12-15,cdu,43,1957-09-15,1370
1957,,allensbach,1955-12-15,gru,,1957-09-15,640
1957,,allensbach,1954-01-15,spd,30,1957-09-15,1339
1957,,allensbach,1953-12-15,spd,31,1957-09-15,1370
1957,,allensbach,1953-11-15,spd,26,1957-09-15,1400
1957,,allensbach,1954-07-15,spd,32,1957-09-15,1158
1957,,allensbach,1953-10-15,spd,27,1957-09-15,1431
1957,,allensbach,1955-01-15,spd,33,1957-09-15,974
1957,,allensbach,1957-02-15,gru,,1957-09-15,212
1957,,allensbach,1953-11-15,fdp,12,1957-09-15,1400
1957,,allensbach,1955-05-15,lin,,1957-09-15,854
1957,,allensbach,1954-07-15,gru,,1957-09-15,1158
1957,,allensbach,1954-05-15,gru,,1957-09-15,1219
1957,,allensbach,1955-02-15,lin,,1957-09-15,943
1957,,allensbach,1957-04-15,spd,40,1957-09-15,153
1957,,allensbach,1957-03-15,fdp,9,1957-09-15,184
1957,,allensbach,1956-02-15,lin,,1957-09-15,578
1957,1800,allensbach,1957-09-14,lin,,1957-09-15,1
1957,,allensbach,1956-11-15,spd,43,1957-09-15,304
1957,,allensbach,1957-01-15,fdp,8,1957-09-15,243
1957,,allensbach,1954-12-15,spd,33,1957-09-15,1005
1957,,allensbach,1957-08-15,lin,,1957-09-15,31
1957,,allensbach,1956-05-15,spd,36,1957-09-15,488
1957,,allensbach,1956-02-15,spd,33,1957-09-15,578
1957,,allensbach,1955-11-15,spd,34,1957-09-15,670
1957,,allensbach,1956-09-15,fdp,8,1957-09-15,365
1957,1800,allensbach,1957-09-14,oth,11,1957-09-15,1
1957,,allensbach,1957-08-15,oth,11,1957-09-15,31
1957,,allensbach,1957-02-15,spd,40,1957-09-15,212
1957,,allensbach,1954-10-15,spd,30,1957-09-15,1066
1957,,allensbach,1956-08-15,spd,40,1957-09-15,396
1957,,allensbach,1956-11-15,lin,,1957-09-15,304
1957,,allensbach,1954-05-15,spd,32,1957-09-15,1219
1957,,allensbach,1956-07-15,lin,,1957-09-15,427
1957,,allensbach,1956-05-15,lin,,1957-09-15,488
1957,,allensbach,1954-02-15,cdu,44,1957-09-15,1308
1957,,allensbach,1954-01-15,cdu,45,1957-09-15,1339
1957,,allensbach,1953-11-15,cdu,48,1957-09-15,1400
1957,,allensbach,1955-11-15,gru,,1957-09-15,670
1957,,allensbach,1953-10-15,cdu,48,1957-09-15,1431
1957,,allensbach,1954-05-15,fdp,15,1957-09-15,1219
1957,,allensbach,1954-07-15,fdp,14,1957-09-15,1158
1957,,allensbach,1956-01-15,lin,,1957-09-15,609
1957,,allensbach,1955-12-15,fdp,11,1957-09-15,640
1957,,allensbach,1953-12-15,fdp,13,1957-09-15,1370
1957,,allensbach,1955-09-15,lin,,1957-09-15,731
1957,1800,allensbach,1957-09-14,spd,32,1957-09-15,1
1957,,allensbach,1955-06-15,lin,,1957-09-15,823
1957,,allensbach,1955-08-15,oth,9,1957-09-15,762
1957,,allensbach,1954-04-15,gru,,1957-09-15,1249
1957,,allensbach,1954-03-15,gru,,1957-09-15,1280
1957,,allensbach,1955-01-15,lin,,1957-09-15,974
1957,,allensbach,1957-03-15,spd,40,1957-09-15,184
1957,,allensbach,1955-06-15,gru,,1957-09-15,823
1957,,allensbach,1957-01-15,spd,40,1957-09-15,243
1957,,allensbach,1956-12-15,spd,45,1957-09-15,274
1957,1800,allensbach,1957-09-14,gru,,1957-09-15,1
1957,,allensbach,1957-08-15,gru,,1957-09-15,31
1957,,allensbach,1957-07-15,gru,,1957-09-15,62
1957,,allensbach,1956-07-15,spd,35,1957-09-15,427
1957,,allensbach,1957-01-15,gru,,1957-09-15,243
1957,,allensbach,1957-03-15,gru,,1957-09-15,184
1957,,allensbach,1954-03-15,oth,13,1957-09-15,1280
1957,,allensbach,1955-08-15,cdu,44,1957-09-15,762
1957,,allensbach,1954-11-15,lin,,1957-09-15,1035
1957,,allensbach,1955-03-15,spd,34,1957-09-15,915
1957,,allensbach,1955-02-15,spd,34,1957-09-15,943
1957,,allensbach,1954-09-15,cdu,42,1957-09-15,1096
1957,,allensbach,1956-12-15,oth,9,1957-09-15,274
1957,,allensbach,1956-08-15,lin,,1957-09-15,396
1957,,allensbach,1954-04-15,cdu,42,1957-09-15,1249
1957,,allensbach,1954-03-15,cdu,44,1957-09-15,1280
1957,,allensbach,1955-06-15,fdp,12,1957-09-15,823
1957,,allensbach,1956-11-15,oth,10,1957-09-15,304
1957,,allensbach,1955-02-15,fdp,12,1957-09-15,943
1957,,allensbach,1955-08-15,gru,,1957-09-15,762
1957,1800,allensbach,1957-09-14,cdu,50,1957-09-15,1
1957,,allensbach,1955-12-15,lin,,1957-09-15,640
1957,,allensbach,1955-11-15,lin,,1957-09-15,670
1957,,allensbach,1955-12-15,oth,13,1957-09-15,640
1957,,allensbach,1955-08-15,lin,,1957-09-15,762
1957,,allensbach,1955-09-15,oth,11,1957-09-15,731
1957,,allensbach,1954-11-15,gru,,1957-09-15,1035
1957,,allensbach,1955-03-15,lin,,1957-09-15,915
1957,,allensbach,1957-01-15,cdu,42,1957-09-15,243
1957,,allensbach,1955-06-15,oth,12,1957-09-15,823
1957,,allensbach,1956-08-15,fdp,9,1957-09-15,396
1957,,allensbach,1955-02-15,oth,12,1957-09-15,943
1957,,allensbach,1954-10-15,lin,,1957-09-15,1066
1957,,allensbach,1957-02-15,fdp,8,1957-09-15,212
1957,,allensbach,1954-09-15,lin,,1957-09-15,1096
1957,,allensbach,1954-07-15,lin,,1957-09-15,1158
1957,,allensbach,1956-12-15,fdp,7,1957-09-15,274
1957,,allensbach,1957-05-15,gru,,1957-09-15,123
1957,,allensbach,1954-07-15,oth,14,1957-09-15,1158
1957,,allensbach,1954-05-15,oth,14,1957-09-15,1219
1957,,allensbach,1956-11-15,fdp,9,1957-09-15,304
1957,,allensbach,1954-01-15,lin,,1957-09-15,1339
1957,,allensbach,1955-03-15,fdp,12,1957-09-15,915
1957,,allensbach,1956-12-15,gru,,1957-09-15,274
1957,,allensbach,1957-01-15,oth,10,1957-09-15,243
1957,,allensbach,1956-01-15,fdp,11,1957-09-15,609
1957,,allensbach,1954-10-15,cdu,43,1957-09-15,1066
1957,,allensbach,1954-07-15,cdu,40,1957-09-15,1158
1957,,allensbach,1956-09-15,lin,,1957-09-15,365
1957,,allensbach,1955-09-15,fdp,11,1957-09-15,731
1957,,allensbach,1955-08-15,fdp,11,1957-09-15,762
1957,,allensbach,1956-03-15,gru,,1957-09-15,549
1957,,allensbach,1956-02-15,gru,,1957-09-15,578
1957,,allensbach,1956-01-15,gru,,1957-09-15,609
1957,,allensbach,1957-02-15,cdu,42,1957-09-15,212
1957,,allensbach,1956-09-15,oth,11,1957-09-15,365
1957,,allensbach,1954-09-15,fdp,14,1957-09-15,1096
1957,,allensbach,1956-07-15,oth,16,1957-09-15,427
1957,,allensbach,1956-04-15,oth,12,1957-09-15,518
1957,,allensbach,1955-02-15,gru,,1957-09-15,943
1957,,allensbach,1955-11-15,oth,13,1957-09-15,670
1957,,allensbach,1954-09-15,gru,,1957-09-15,1096
1957,,allensbach,1957-04-15,cdu,41,1957-09-15,153
1957,,allensbach,1954-10-15,gru,,1957-09-15,1066
1957,,allensbach,1957-03-15,cdu,41,1957-09-15,184
1957,,allensbach,1954-04-15,oth,13,1957-09-15,1249
1957,,allensbach,1955-11-15,cdu,44,1957-09-15,670
1957,,allensbach,1955-05-15,oth,13,1957-09-15,854
1957,,allensbach,1953-12-15,gru,,1957-09-15,1370
1957,,allensbach,1953-11-15,gru,,1957-09-15,1400
1957,,allensbach,1955-01-15,oth,14,1957-09-15,974
1957,,allensbach,1954-12-15,oth,13,1957-09-15,1005
1957,,allensbach,1954-11-15,oth,12,1957-09-15,1035
1957,,allensbach,1954-04-15,lin,,1957-09-15,1249
1957,,allensbach,1954-03-15,lin,,1957-09-15,1280
1957,,allensbach,1956-02-15,cdu,44,1957-09-15,578
1957,,allensbach,1956-07-15,gru,,1957-09-15,427
1957,,allensbach,1956-01-15,cdu,41,1957-09-15,609
1957,,allensbach,1955-05-15,fdp,13,1957-09-15,854
1957,,allensbach,1954-02-15,lin,,1957-09-15,1308
1957,,allensbach,1956-07-15,fdp,12,1957-09-15,427
1957,,allensbach,1957-07-15,oth,11,1957-09-15,62
1957,,allensbach,1957-04-15,oth,10,1957-09-15,153
1957,,allensbach,1956-02-15,fdp,10,1957-09-15,578
1957,,allensbach,1957-03-15,oth,10,1957-09-15,184
1957,,allensbach,1955-11-15,fdp,9,1957-09-15,670
1957,,allensbach,1954-05-15,cdu,39,1957-09-15,1219
1957,,allensbach,1956-04-15,gru,,1957-09-15,518
1957,,allensbach,1954-12-15,gru,,1957-09-15,1005
1957,,allensbach,1956-05-15,gru,,1957-09-15,488
1957,,allensbach,1957-05-15,cdu,42,1957-09-15,123
1957,,allensbach,1956-05-15,oth,14,1957-09-15,488
1957,,allensbach,1955-12-15,cdu,43,1957-09-15,640
1957,,allensbach,1955-09-15,gru,,1957-09-15,731
1957,,allensbach,1955-01-15,fdp,12,1957-09-15,974
1957,,allensbach,1954-01-15,fdp,12,1957-09-15,1339
1957,,allensbach,1954-04-15,fdp,14,1957-09-15,1249
1957,,allensbach,1954-03-15,fdp,13,1957-09-15,1280
1957,,allensbach,1954-02-15,fdp,13,1957-09-15,1308
1957,,allensbach,1955-03-15,oth,14,1957-09-15,915
1957,,allensbach,1956-01-15,oth,12,1957-09-15,609
1957,,allensbach,1956-03-15,cdu,42,1957-09-15,549
1957,,allensbach,1953-10-15,fdp,12,1957-09-15,1431
1957,,allensbach,1956-07-15,cdu,37,1957-09-15,427
1957,,allensbach,1956-08-15,cdu,40,1957-09-15,396
1957,,allensbach,1956-09-15,cdu,41,1957-09-15,365
1957,,allensbach,1955-09-15,cdu,47,1957-09-15,731
1957,,allensbach,1957-07-15,cdu,44,1957-09-15,62
1957,,allensbach,1954-10-15,oth,14,1957-09-15,1066
1957,,allensbach,1954-09-15,oth,13,1957-09-15,1096
1957,,allensbach,1953-10-15,oth,13,1957-09-15,1431
1957,,allensbach,1954-10-15,fdp,13,1957-09-15,1066
1957,,allensbach,1955-06-15,cdu,43,1957-09-15,823
1957,,allensbach,1957-02-15,oth,10,1957-09-15,212
1957,,allensbach,1956-08-15,gru,,1957-09-15,396
1957,,allensbach,1955-01-15,gru,,1957-09-15,974
1957,,allensbach,1953-11-15,oth,14,1957-09-15,1400
1957,,allensbach,1954-12-15,fdp,13,1957-09-15,1005
1957,,allensbach,1955-01-15,cdu,41,1957-09-15,974
1957,,allensbach,1956-08-15,oth,11,1957-09-15,396
1957,,allensbach,1954-11-15,cdu,44,1957-09-15,1035
