,support
2013-10-23,5.831065759637188
2013-10-24,5.831292517006802
2013-10-25,5.831519274376417
2013-10-26,5.846031746031746
2013-10-27,5.8605442176870755
2013-10-28,5.895464852607709
2013-10-29,5.930385487528345
2013-10-30,5.96530612244898
2013-10-31,5.997959183673468
2013-11-01,6.030612244897959
2013-11-02,6.063265306122449
2013-11-03,6.095918367346939
2013-11-04,6.087755102040816
2013-11-05,6.079591836734694
2013-11-06,6.071428571428571
2013-11-07,6.053061224489796
2013-11-08,6.04421768707483
2013-11-09,6.035374149659864
2013-11-10,6.0265306122448985
2013-11-11,6.058503401360545
2013-11-12,6.09047619047619
2013-11-13,6.140306122448979
2013-11-14,6.169727891156462
2013-11-15,6.199149659863946
2013-11-16,6.228571428571429
2013-11-17,6.257993197278911
2013-11-18,6.246598639455782
2013-11-19,6.235204081632653
2013-11-20,6.212925170068027
2013-11-21,6.244217687074831
2013-11-22,6.275510204081633
2013-11-23,6.286289900575615
2013-11-24,6.297069597069597
2013-11-25,6.328257456828886
2013-11-26,6.3594453165881735
2013-11-27,6.390633176347462
2013-11-28,6.328623757195186
2013-11-29,6.266614338042909
2013-11-30,6.204604918890633
2013-12-01,6.1425954997383565
2013-12-02,6.080586080586081
2013-12-03,6.018576661433804
2013-12-04,5.96847200418629
2013-12-05,5.918367346938775
2013-12-06,5.879251700680272
2013-12-07,5.840136054421769
2013-12-08,5.801020408163265
2013-12-09,5.761904761904761
2013-12-10,5.7346938775510194
2013-12-11,5.717687074829932
2013-12-12,5.72108843537415
2013-12-13,5.724489795918367
2013-12-14,5.727891156462585
2013-12-15,5.7312925170068025
2013-12-16,5.755102040816326
2013-12-17,5.77891156462585
2013-12-18,5.796768707482992
2013-12-19,5.8146258503401365
2013-12-20,5.834225153476025
2013-12-21,5.86096731375477
2013-12-22,5.887709474033516
2013-12-23,5.88724074995852
2013-12-24,5.886772025883523
2013-12-25,5.886303301808529
2013-12-26,5.885834577733532
2013-12-27,5.885365853658536
