,support
2013-10-23,5.045124716553288
2013-10-24,5.051700680272108
2013-10-25,5.05827664399093
2013-10-26,5.0491016919588345
2013-10-27,5.03992673992674
2013-10-28,5.030751787894644
2013-10-29,5.021576835862551
2013-10-30,5.012401883830455
2013-10-31,4.9850863422292
2013-11-01,4.957770800627943
2013-11-02,4.9304552590266875
2013-11-03,4.903139717425431
2013-11-04,4.875824175824176
2013-11-05,4.848508634222919
2013-11-06,4.821193092621663
2013-11-07,4.815986394557823
2013-11-08,4.821768707482993
2013-11-09,4.827551020408164
2013-11-10,4.833333333333333
2013-11-11,4.839115646258504
2013-11-12,4.844897959183673
2013-11-13,4.838775510204081
2013-11-14,4.83265306122449
2013-11-15,4.826530612244897
2013-11-16,4.820408163265307
2013-11-17,4.814285714285715
2013-11-18,4.808163265306122
2013-11-19,4.802040816326531
2013-11-20,4.793197278911565
2013-11-21,4.774149659863945
2013-11-22,4.755102040816326
2013-11-23,4.736054421768707
2013-11-24,4.717006802721088
2013-11-25,4.697959183673469
2013-11-26,4.67891156462585
2013-11-27,4.659863945578231
2013-11-28,4.649814471243042
2013-11-29,4.6397649969078545
2013-11-30,4.619511440940012
2013-12-01,4.59925788497217
2013-12-02,4.579004329004329
2013-12-03,4.558750773036487
2013-12-04,4.550401978973407
2013-12-05,4.542053184910328
2013-12-06,4.533704390847248
2013-12-07,4.525355596784168
2013-12-08,4.517006802721089
2013-12-09,4.508658008658008
2013-12-10,4.479475881261595
2013-12-11,4.457096474953618
2013-12-12,4.43471706864564
2013-12-13,4.412337662337662
2013-12-14,4.400162337662338
2013-12-15,4.387987012987013
2013-12-16,4.375811688311688
2013-12-17,4.363636363636364
2013-12-18,4.358008658008658
2013-12-19,4.352380952380952
2013-12-20,4.351742160278746
2013-12-21,4.351103368176539
2013-12-22,4.350464576074332
2013-12-23,4.349825783972125
2013-12-24,4.349186991869919
2013-12-25,4.348548199767712
2013-12-26,4.347909407665505
2013-12-27,4.347270615563298
2013-12-28,4.346631823461092
2013-12-29,4.345993031358885
2013-12-30,4.345354239256678
2013-12-31,4.3447154471544716
2014-01-01,4.344076655052264
2014-01-02,4.373369835739174
2014-01-03,4.402663016426082
2014-01-04,4.431956197112991
2014-01-05,4.4612493777999
2014-01-06,4.490542558486809
2014-01-07,4.492284718765555
2014-01-08,4.4940268790443
2014-01-09,4.47536087605774
2014-01-10,4.4566948730711795
2014-01-11,4.4380288700846195
2014-01-12,4.419362867098059
2014-01-13,4.400696864111498
2014-01-14,4.402439024390244
2014-01-15,4.40418118466899
2014-01-16,4.385515181682429
2014-01-17,4.366849178695868
2014-01-18,4.348183175709308
2014-01-19,4.329517172722747
2014-01-20,4.290443006470881
2014-01-21,4.251368840219015
2014-01-22,4.216376306620209
2014-01-23,4.2017919362867096
2014-01-24,4.18720756595321
2014-01-25,4.172623195619711
2014-01-26,4.158038825286212
2014-01-27,4.163862618218019
2014-01-28,4.190094574415132
2014-01-29,4.216326530612244
2014-01-30,4.240816326530612
2014-01-31,4.265306122448979
2014-02-01,4.313605442176871
2014-02-02,4.3619047619047615
2014-02-03,4.410204081632654
2014-02-04,4.438095238095238
2014-02-05,4.465986394557823
2014-02-06,4.493877551020408
2014-02-07,4.49795918367347
2014-02-08,4.50204081632653
2014-02-09,4.506122448979592
2014-02-10,4.530612244897959
2014-02-11,4.555102040816327
2014-02-12,4.579591836734694
2014-02-13,4.624489795918367
2014-02-14,4.669387755102041
2014-02-15,4.714285714285714
2014-02-16,4.759183673469388
2014-02-17,4.783673469387756
2014-02-18,4.817091836734694
2014-02-19,4.850510204081632
2014-02-20,4.863520408163266
2014-02-21,4.876530612244898
2014-02-22,4.88954081632653
2014-02-23,4.902551020408163
2014-02-24,4.915561224489797
2014-02-25,4.928571428571429
2014-02-26,4.918367346938775
2014-02-27,4.928571428571429
2014-02-28,4.938775510204081
2014-03-01,4.925170068027212
2014-03-02,4.91156462585034
2014-03-03,4.8979591836734695
2014-03-04,4.884353741496598
2014-03-05,4.891156462585035
2014-03-06,4.857142857142857
2014-03-07,4.853432282003711
2014-03-08,4.849721706864563
2014-03-09,4.846011131725417
2014-03-10,4.842300556586271
2014-03-11,4.838589981447124
2014-03-12,4.815746753246754
2014-03-13,4.813311688311688
2014-03-14,4.810876623376623
2014-03-15,4.8186456400742115
2014-03-16,4.8264146567718
2014-03-17,4.834183673469388
2014-03-18,4.841952690166976
2014-03-19,4.854647815238948
2014-03-20,4.876271511739492
2014-03-21,4.897895208240036
2014-03-22,4.919518904740579
2014-03-23,4.941142601241124
2014-03-24,4.962766297741667
2014-03-25,4.984389994242211
2014-03-26,5.006013690742755
2014-03-27,5.048045550508605
2014-03-28,5.090077410274454
2014-03-29,5.105207600281493
2014-03-30,5.120337790288529
2014-03-31,5.155876143560873
2014-04-01,5.191414496833216
2014-04-02,5.247361013370866
2014-04-03,5.262491203377904
2014-04-04,5.2776213933849405
2014-04-05,5.292751583391977
2014-04-06,5.307881773399016
2014-04-07,5.302603800140745
2014-04-08,5.297325826882478
2014-04-09,5.259734928454141
2014-04-10,5.266361717100632
2014-04-11,5.272988505747127
2014-04-12,5.289819376026273
2014-04-13,5.306650246305418
2014-04-14,5.323481116584565
2014-04-15,5.3442802408319645
2014-04-16,5.323412698412698
2014-04-17,5.2948790627362055
2014-04-18,5.266345427059712
2014-04-19,5.237811791383221
2014-04-20,5.209278155706727
2014-04-21,5.160336356764929
2014-04-22,5.11139455782313
2014-04-23,5.06245275888133
2014-04-24,5.075018896447467
2014-04-25,5.087585034013606
2014-04-26,5.100151171579744
2014-04-27,5.11271730914588
2014-04-28,5.145691609977325
2014-04-29,5.1786659108087685
2014-04-30,5.146164021164021
2014-05-01,5.1225907029478455
2014-05-02,5.099017384731671
2014-05-03,5.075444066515495
2014-05-04,5.05187074829932
2014-05-05,5.0282974300831444
2014-05-06,5.025557445200302
2014-05-07,5.0228174603174605
2014-05-08,5.058342781557067
2014-05-09,5.093868102796675
2014-05-10,5.134684429327287
2014-05-11,5.1755007558578985
2014-05-12,5.236725245653817
2014-05-13,5.297949735449735
2014-05-14,5.347033257747543
2014-05-15,5.375088098302384
2014-05-16,5.403142938857225
2014-05-17,5.429412065126351
2014-05-18,5.4556811913954775
2014-05-19,5.461542154399297
2014-05-20,5.497165022165022
2014-05-21,5.532787889930747
2014-05-22,5.568410757696472
2014-05-23,5.604033625462196
2014-05-24,5.639656493227923
2014-05-25,5.675279360993647
2014-05-26,5.710902228759372
2014-05-27,5.7465250965250965
2014-05-28,5.800005107147965
2014-05-29,5.853485117770831
2014-05-30,5.906965128393701
2014-05-31,5.960445139016568
2014-06-01,6.0139251496394355
2014-06-02,6.087813323527611
2014-06-03,6.161701497415783
2014-06-04,6.244518242732529
2014-06-05,6.2916207023349875
2014-06-06,6.3232589964732835
2014-06-07,6.354897290611576
2014-06-08,6.386535584749871
2014-06-09,6.3773575523575525
2014-06-10,6.368179519965233
2014-06-11,6.359001487572916
2014-06-12,6.302799645656789
2014-06-13,6.24659780374066
2014-06-14,6.190395961824533
2014-06-15,6.134194119908406
2014-06-16,6.11880860452289
2014-06-17,6.117708803423089
2014-06-18,6.1404185261328115
2014-06-19,6.163128248842535
2014-06-20,6.185837971552258
2014-06-21,6.205151990866277
2014-06-22,6.224466010180295
2014-06-23,6.223371866229009
2014-06-24,6.222277722277722
2014-06-25,6.212680176965891
2014-06-26,6.203082631654061
2014-06-27,6.193485086342229
2014-06-28,6.1705913134484565
2014-06-29,6.147697540554683
2014-06-30,6.104395604395604
