,support
2013-10-23,25.629478458049885
2013-10-24,25.653061224489797
2013-10-25,25.676643990929705
2013-10-26,25.679713936856793
2013-10-27,25.682783882783884
2013-10-28,25.64503750218036
2013-10-29,25.607291121576832
2013-10-30,25.56954474097331
2013-10-31,25.55447409733124
2013-11-01,25.539403453689168
2013-11-02,25.524332810047095
2013-11-03,25.509262166405023
2013-11-04,25.53500784929356
2013-11-05,25.560753532182105
2013-11-06,25.586499215070642
2013-11-07,25.557823129251698
2013-11-08,25.53061224489796
2013-11-09,25.503401360544217
2013-11-10,25.476190476190478
2013-11-11,25.408163265306122
2013-11-12,25.34013605442177
2013-11-13,25.29591836734694
2013-11-14,25.272108843537417
2013-11-15,25.24829931972789
2013-11-16,25.224489795918366
2013-11-17,25.200680272108844
2013-11-18,25.197278911564627
2013-11-19,25.19387755102041
2013-11-20,25.190476190476193
2013-11-21,25.17687074829932
2013-11-22,25.163265306122447
2013-11-23,25.159183673469386
2013-11-24,25.155102040816328
2013-11-25,25.17142857142857
2013-11-26,25.187755102040818
2013-11-27,25.204081632653065
2013-11-28,25.182282003710576
2013-11-29,25.16048237476809
2013-11-30,25.128478664192947
2013-12-01,25.09647495361781
2013-12-02,25.044063079777366
2013-12-03,24.991651205936922
2013-12-04,24.998763141620284
2013-12-05,25.026283240568954
2013-12-06,25.072850958565244
2013-12-07,25.119418676561533
2013-12-08,25.165986394557823
2013-12-09,25.192145949288804
2013-12-10,25.23021026592455
2013-12-11,25.2682745825603
2013-12-12,25.285930735930737
2013-12-13,25.303586889301176
2013-12-14,25.3273654916512
2013-12-15,25.35114409400124
2013-12-16,25.39533085961657
2013-12-17,25.43951762523191
2013-12-18,25.43370439084725
2013-12-19,25.427891156462582
2013-12-20,25.430313588850176
2013-12-21,25.413688402190143
2013-12-22,25.397063215530114
2013-12-23,25.380438028870085
2013-12-24,25.363812842210056
2013-12-25,25.347187655550027
2013-12-26,25.330562468889998
2013-12-27,25.313937282229965
2013-12-28,25.297312095569936
2013-12-29,25.280686908909907
2013-12-30,25.26406172224987
2013-12-31,25.24743653558985
2014-01-01,25.230811348929816
2014-01-02,25.193777999004478
2014-01-03,25.156744649079144
2014-01-04,25.119711299153806
2014-01-05,25.082677949228476
2014-01-06,25.045644599303134
2014-01-07,25.04330512692882
2014-01-08,25.040965654554505
2014-01-09,25.059034345445497
2014-01-10,25.077103036336485
2014-01-11,25.095171727227477
2014-01-12,25.113240418118465
2014-01-13,25.151717272274766
2014-01-14,25.169785963165754
2014-01-15,25.187854654056743
2014-01-16,25.20592334494774
2014-01-17,25.223992035838727
2014-01-18,25.256346441015435
2014-01-19,25.288700846192135
2014-01-20,25.300647088103535
2014-01-21,25.31259333001493
2014-01-22,25.32045793927327
2014-01-23,25.342608262817322
2014-01-24,25.364758586361372
2014-01-25,25.38690890990543
2014-01-26,25.409059233449476
2014-01-27,25.410801393728224
2014-01-28,25.367645594823298
2014-01-29,25.324489795918367
2014-01-30,25.30324675324675
2014-01-31,25.28200371057514
2014-02-01,25.243753865182438
2014-02-02,25.205504019789736
2014-02-03,25.18766233766234
2014-02-04,25.218290043290047
2014-02-05,25.24891774891775
2014-02-06,25.25913729128015
2014-02-07,25.262863327149038
2014-02-08,25.266589363017935
2014-02-09,25.27031539888683
2014-02-10,25.25363327149042
2014-02-11,25.236951144094004
2014-02-12,25.17860235003092
2014-02-13,25.120253555967842
2014-02-14,25.061904761904763
2014-02-15,25.00355596784168
2014-02-16,24.945207173778606
2014-02-17,24.907266542980828
2014-02-18,24.902064007421153
2014-02-19,24.896861471861474
2014-02-20,24.85084260977118
2014-02-21,24.79364048649763
2014-02-22,24.750043805400946
2014-02-23,24.70644712430427
2014-02-24,24.662850443207585
2014-02-25,24.619253762110905
2014-02-26,24.550401978973408
2014-02-27,24.52236652236652
2014-02-28,24.49433106575964
2014-03-01,24.42517006802721
2014-03-02,24.356009070294785
2014-03-03,24.266439909297052
2014-03-04,24.176870748299315
2014-03-05,24.128117913832202
2014-03-06,24.099773242630384
2014-03-07,24.125541125541123
2014-03-08,24.151309008451868
2014-03-09,24.177076891362606
2014-03-10,24.24366110080396
2014-03-11,24.31024531024531
2014-03-12,24.33856421356421
2014-03-13,24.34647495361781
2014-03-14,24.35438569367141
2014-03-15,24.35549371263657
2014-03-16,24.35660173160173
2014-03-17,24.357709750566894
2014-03-18,24.358817769532056
2014-03-19,24.359925788497215
2014-03-20,24.40468460111317
2014-03-21,24.44944341372913
2014-03-22,24.494202226345084
2014-03-23,24.53896103896104
