,support
2013-10-23,3.6564625850340136
2013-10-24,3.665986394557823
2013-10-25,3.6755102040816325
2013-10-26,3.6645211930926216
2013-10-27,3.6535321821036106
2013-10-28,3.6425431711145997
2013-10-29,3.6315541601255887
2013-10-30,3.620565149136578
2013-10-31,3.5891679748822614
2013-11-01,3.557770800627943
2013-11-02,3.5263736263736263
2013-11-03,3.4949764521193094
2013-11-04,3.4635792778649916
2013-11-05,3.4321821036106748
2013-11-06,3.400784929356358
2013-11-07,3.422108843537415
2013-11-08,3.454421768707483
2013-11-09,3.486734693877551
2013-11-10,3.519047619047619
2013-11-11,3.551360544217687
2013-11-12,3.583673469387755
2013-11-13,3.604081632653061
2013-11-14,3.604081632653061
2013-11-15,3.604081632653061
2013-11-16,3.604081632653061
2013-11-17,3.604081632653061
2013-11-18,3.604081632653061
2013-11-19,3.604081632653061
2013-11-20,3.5931972789115645
2013-11-21,3.561904761904762
2013-11-22,3.5306122448979593
2013-11-23,3.499319727891156
2013-11-24,3.4680272108843537
2013-11-25,3.457142857142857
2013-11-26,3.4462585034013604
2013-11-27,3.435374149659864
2013-11-28,3.437074829931973
2013-11-29,3.4387755102040813
2013-11-30,3.450680272108844
2013-12-01,3.4625850340136055
2013-12-02,3.4336734693877555
2013-12-03,3.4047619047619047
2013-12-04,3.3996598639455784
2013-12-05,3.3945578231292513
2013-12-06,3.3989795918367345
2013-12-07,3.4034013605442177
2013-12-08,3.4078231292517005
2013-12-09,3.453061224489796
2013-12-10,3.486394557823129
2013-12-11,3.5299319727891154
2013-12-12,3.5972789115646258
2013-12-13,3.664625850340136
2013-12-14,3.7217687074829935
2013-12-15,3.7789115646258504
2013-12-16,3.8156462585034014
2013-12-17,3.8523809523809525
2013-12-18,3.8748299319727892
2013-12-19,3.897278911564626
2013-12-20,3.9232122117139534
2013-12-21,3.9396217023394726
2013-12-22,3.9560311929649905
2013-12-23,3.9724406835905097
2013-12-24,3.988850174216027
2013-12-25,4.005259664841547
2013-12-26,4.021669155467065
2013-12-27,4.0380786460925835
2013-12-28,4.054488136718102
2013-12-29,4.07089762734362
2013-12-30,4.087307117969139
2013-12-31,4.103716608594658
2014-01-01,4.120126099220175
2014-01-02,4.127011780321885
2014-01-03,4.133897461423594
2014-01-04,4.1407831425253026
2014-01-05,4.147668823627012
2014-01-06,4.15455450472872
2014-01-07,4.16144018583043
2014-01-08,4.168325866932139
2014-01-09,4.175211548033848
2014-01-10,4.1820972291355565
2014-01-11,4.188982910237266
2014-01-12,4.195868591338974
2014-01-13,4.202754272440684
2014-01-14,4.217576461478901
2014-01-15,4.232398650517117
2014-01-16,4.247220839555334
2014-01-17,4.262043028593551
2014-01-18,4.276865217631768
2014-01-19,4.291687406669985
2014-01-20,4.326917758973508
2014-01-21,4.3621481112770315
2014-01-22,4.393977103036336
2014-01-23,4.397461423593827
2014-01-24,4.400945744151319
2014-01-25,4.40443006470881
2014-01-26,4.407914385266301
2014-01-27,4.370582379293181
2014-01-28,4.323046291687406
2014-01-29,4.275510204081633
2014-01-30,4.238404452690167
2014-01-31,4.201298701298701
2014-02-01,4.164192949907235
2014-02-02,4.1270871985157696
2014-02-03,4.1103896103896105
2014-02-04,4.103896103896104
2014-02-05,4.097402597402597
2014-02-06,4.090909090909091
2014-02-07,4.084415584415584
2014-02-08,4.077922077922078
2014-02-09,4.071428571428571
2014-02-10,4.064935064935065
2014-02-11,4.058441558441559
2014-02-12,4.0519480519480515
2014-02-13,4.045454545454546
2014-02-14,4.038961038961039
2014-02-15,4.032467532467533
2014-02-16,4.025974025974025
2014-02-17,4.01948051948052
2014-02-18,4.012987012987013
2014-02-19,4.0064935064935066
2014-02-20,4.020408163265306
2014-02-21,4.046107331821617
2014-02-22,4.071806500377929
2014-02-23,4.09750566893424
2014-02-24,4.123204837490552
2014-02-25,4.148904006046863
2014-02-26,4.174603174603175
2014-02-27,4.159486016628874
2014-02-28,4.144368858654572
2014-03-01,4.129251700680272
2014-03-02,4.114134542705971
2014-03-03,4.0786092214663645
2014-03-04,4.043083900226757
2014-03-05,4.00755857898715
2014-03-06,3.99244142101285
2014-03-07,3.977324263038549
2014-03-08,3.962207105064248
2014-03-09,3.947089947089947
2014-03-10,3.9727891156462585
2014-03-11,3.99848828420257
2014-03-12,4.0241874527588815
2014-03-13,4.049886621315193
2014-03-14,4.075585789871504
2014-03-15,4.0910808767951625
2014-03-16,4.106575963718821
2014-03-17,4.081254724111867
2014-03-18,4.055933484504913
2014-03-19,4.030612244897959
2014-03-20,3.997448979591837
2014-03-21,3.9642857142857144
2014-03-22,3.9311224489795924
2014-03-23,3.89795918367347
2014-03-24,3.885204081632653
2014-03-25,3.872448979591837
2014-03-26,3.8596938775510203
2014-03-27,3.8231292517006805
2014-03-28,3.78656462585034
2014-03-29,3.770408163265306
2014-03-30,3.754251700680272
2014-03-31,3.738095238095238
2014-04-01,3.721938775510204
2014-04-02,3.75
2014-04-03,3.7780612244897958
2014-04-04,3.806122448979592
2014-04-05,3.8341836734693877
2014-04-06,3.8622448979591835
2014-04-07,3.9107142857142856
2014-04-08,3.9591836734693873
2014-04-09,4.011054421768708
2014-04-10,4.062925170068026
2014-04-11,4.1147959183673475
2014-04-12,4.156462585034014
2014-04-13,4.1981292517006805
2014-04-14,4.219387755102041
2014-04-15,4.20890022675737
2014-04-16,4.198412698412699
2014-04-17,4.193027210884353
2014-04-18,4.187641723356009
2014-04-19,4.182256235827665
2014-04-20,4.1768707482993195
2014-04-21,4.171485260770975
2014-04-22,4.16609977324263
2014-04-23,4.160714285714286
2014-04-24,4.163265306122449
2014-04-25,4.165816326530612
2014-04-26,4.168367346938775
2014-04-27,4.170918367346938
2014-04-28,4.173469387755103
2014-04-29,4.176020408163265
2014-04-30,4.142857142857143
2014-05-01,4.10969387755102
2014-05-02,4.076530612244897
2014-05-03,4.043367346938775
2014-05-04,4.0102040816326525
2014-05-05,3.977040816326531
2014-05-06,3.997448979591837
2014-05-07,4.017857142857143
2014-05-08,4.038265306122449
2014-05-09,4.058673469387755
2014-05-10,4.073790627362056
2014-05-11,4.088907785336357
2014-05-12,4.124433106575964
2014-05-13,4.15995842781557
2014-05-14,4.177626606198035
2014-05-15,4.188882760311332
2014-05-16,4.200138914424628
2014-05-17,4.211395068537926
2014-05-18,4.222651222651223
2014-05-19,4.2134992134992135
2014-05-20,4.204347204347204
2014-05-21,4.195195195195195
2014-05-22,4.186043186043186
2014-05-23,4.176891176891177
2014-05-24,4.167739167739168
2014-05-25,4.158587158587158
2014-05-26,4.129026986169843
2014-05-27,4.099466813752528
2014-05-28,4.0597025597025596
2014-05-29,4.019938305652592
2014-05-30,3.980174051602623
2014-05-31,3.940409797552655
2014-06-01,3.9006455435026863
2014-06-02,3.860881289452718
2014-06-03,3.82111703540275
2014-06-04,3.8094140058425774
2014-06-05,3.797710976282405
2014-06-06,3.791298952013238
2014-06-07,3.7848869277440707
2014-06-08,3.7784749034749034
2014-06-09,3.8128792057363485
2014-06-10,3.8472835079977936
2014-06-11,3.8816878102592383
2014-06-12,3.8839492553778263
2014-06-13,3.8862107004964153
2014-06-14,3.8884721456150024
2014-06-15,3.8907335907335905
2014-06-16,3.8725868725868726
2014-06-17,3.8483177054605626
2014-06-18,3.8240485383342526
2014-06-19,3.799779371207943
2014-06-20,3.775510204081633
2014-06-21,3.752354788069074
2014-06-22,3.7291993720565153
2014-06-23,3.6856357927786503
2014-06-24,3.672684458398744
2014-06-25,3.6597331240188384
2014-06-26,3.6467817896389323
2014-06-27,3.6338304552590266
2014-06-28,3.620879120879121
2014-06-29,3.6079277864992148
2014-06-30,3.6153846153846154
2014-07-01,3.6215659340659343
2014-07-02,3.6277472527472527
2014-07-03,3.6135204081632653
2014-07-04,3.5992935635792778
2014-07-05,3.5850667189952903
2014-07-06,3.570839874411303
2014-07-07,3.5566130298273153
2014-07-08,3.542386185243328
2014-07-09,3.5073260073260073
2014-07-10,3.4926739926739927
2014-07-11,3.478021978021978
2014-07-12,3.4633699633699635
2014-07-13,3.448717948717949
2014-07-14,3.4340659340659343
2014-07-15,3.4313186813186816
2014-07-16,3.4285714285714284
2014-07-17,3.4265306122448984
2014-07-18,3.4244897959183676
2014-07-19,3.4193877551020404
2014-07-20,3.414285714285714
2014-07-21,3.4091836734693883
2014-07-22,3.404081632653061
2014-07-23,3.3938775510204082
2014-07-24,3.383673469387755
2014-07-25,3.373469387755102
2014-07-26,3.3632653061224493
2014-07-27,3.353061224489796
2014-07-28,3.3428571428571425
2014-07-29,3.3326530612244896
2014-07-30,3.312244897959183
2014-07-31,3.3122448979591836
2014-08-01,3.312244897959183
2014-08-02,3.312244897959183
2014-08-03,3.312244897959183
2014-08-04,3.312244897959183
2014-08-05,3.312244897959183
2014-08-06,3.322448979591837
2014-08-07,3.312244897959183
2014-08-08,3.309183673469388
2014-08-09,3.306122448979592
2014-08-10,3.303061224489796
2014-08-11,3.3000000000000003
2014-08-12,3.296938775510204
2014-08-13,3.293877551020408
2014-08-14,3.2806122448979593
2014-08-15,3.2673469387755105
2014-08-16,3.2540816326530617
2014-08-17,3.2408163265306125
2014-08-18,3.247959183673469
2014-08-19,3.2551020408163263
2014-08-20,3.2673469387755105
2014-08-21,3.2969387755102035
2014-08-22,3.326530612244898
2014-08-23,3.3418367346938775
2014-08-24,3.357142857142857
2014-08-25,3.331632653061224
2014-08-26,3.3061224489795924
2014-08-27,3.280612244897959
2014-08-28,3.243197278911565
2014-08-29,3.20578231292517
2014-08-30,3.168367346938776
2014-08-31,3.130952380952381
2014-09-01,3.1139455782312924
2014-09-02,3.0969387755102042
2014-09-03,3.1007653061224487
2014-09-04,3.104591836734694
2014-09-05,3.1084183673469385
2014-09-06,3.122448979591837
2014-09-07,3.1364795918367347
2014-09-08,3.150510204081633
2014-09-09,3.164540816326531
2014-09-10,3.1785714285714284
2014-09-11,3.183673469387755
2014-09-12,3.1887755102040813
2014-09-13,3.193877551020408
2014-09-14,3.1989795918367347
2014-09-15,3.2040816326530615
2014-09-16,3.2091836734693877
2014-09-17,3.205357142857143
2014-09-18,3.168417366946779
2014-09-19,3.1314775910364148
2014-09-20,3.0945378151260505
2014-09-21,3.0575980392156867
2014-09-22,3.000250100040016
2014-09-23,2.942902160864346
2014-09-24,2.9093637454981995
2014-09-25,2.8847539015606247
2014-09-26,2.860144057623049
2014-09-27,2.8117246898759505
2014-09-28,2.7633053221288515
2014-09-29,2.735294117647059
2014-09-30,2.7072829131652663
2014-10-01,2.679271708683473
2014-10-02,2.6512605042016806
2014-10-03,2.647058823529412
2014-10-04,2.642857142857143
2014-10-05,2.638655462184874
2014-10-06,2.634453781512605
2014-10-07,2.6302521008403366
2014-10-08,2.6200980392156863
2014-10-09,2.6099439775910365
2014-10-10,2.5997899159663866
2014-10-11,2.5896358543417364
2014-10-12,2.5973389355742293
2014-10-13,2.6050420168067228
2014-10-14,2.645483193277311
2014-10-15,2.685924369747899
2014-10-16,2.688100240096038
2014-10-17,2.6902761104441777
2014-10-18,2.692451980792317
2014-10-19,2.694627851140456
2014-10-20,2.678946578631453
2014-10-21,2.6632653061224487
2014-10-22,2.6351161154116816
2014-10-23,2.6273750879662208
2014-10-24,2.61963406052076
2014-10-25,2.6228820440643097
2014-10-26,2.6261300276078603
2014-10-27,2.62937801115141
2014-10-28,2.6326259946949597
2014-10-29,2.6550066312997345
2014-10-30,2.6977954311698156
2014-10-31,2.740584231039896
2014-11-01,2.783373030909977
2014-11-02,2.8261618307800576
2014-11-03,2.848542467384832
2014-11-04,2.8709231039896066
2014-11-05,2.893303740594381
2014-11-06,2.9101571663148014
2014-11-07,2.916021581046212
2014-11-08,2.9218859957776213
2014-11-09,2.9277504105090313
2014-11-10,2.974431151771053
