,support
2013-10-23,8.933333333333334
2013-10-24,8.99455782312925
2013-10-25,9.05578231292517
2013-10-26,9.11847200418629
2013-10-27,9.18116169544741
2013-10-28,9.203035060177916
2013-10-29,9.224908424908424
2013-10-30,9.246781789638932
2013-10-31,9.258451072736786
2013-11-01,9.27012035583464
2013-11-02,9.281789638932494
2013-11-03,9.293458922030352
2013-11-04,9.345944531658818
2013-11-05,9.398430141287283
2013-11-06,9.450915750915751
2013-11-07,9.505102040816327
2013-11-08,9.54829931972789
2013-11-09,9.577891156462584
2013-11-10,9.607482993197278
2013-11-11,9.616666666666665
2013-11-12,9.625850340136054
2013-11-13,9.605272108843538
2013-11-14,9.605102040816325
2013-11-15,9.604931972789116
2013-11-16,9.604761904761904
2013-11-17,9.604591836734695
2013-11-18,9.604421768707482
2013-11-19,9.604251700680274
2013-11-20,9.610884353741497
2013-11-21,9.604761904761904
2013-11-22,9.598639455782314
2013-11-23,9.592517006802721
2013-11-24,9.58639455782313
2013-11-25,9.559863945578233
2013-11-26,9.533333333333333
2013-11-27,9.506802721088434
2013-11-28,9.521954236239951
2013-11-29,9.537105751391465
2013-11-30,9.56926406926407
2013-12-01,9.601422387136674
2013-12-02,9.653988868274583
2013-12-03,9.706555349412493
2013-12-04,9.723407544836117
2013-12-05,9.699443413729128
2013-12-06,9.66595547309833
2013-12-07,9.632467532467533
2013-12-08,9.598979591836734
2013-12-09,9.565491651205935
2013-12-10,9.53795609152752
2013-12-11,9.50021645021645
2013-12-12,9.482884972170686
2013-12-13,9.465553494124922
2013-12-14,9.438017934446506
2013-12-15,9.41048237476809
2013-12-16,9.38294681508967
2013-12-17,9.355411255411255
2013-12-18,9.35525664811379
2013-12-19,9.355102040816325
2013-12-20,9.349958519993363
2013-12-21,9.354338808694209
2013-12-22,9.358719097395054
2013-12-23,9.363099386095902
2013-12-24,9.367479674796746
2013-12-25,9.371859963497595
2013-12-26,9.376240252198441
2013-12-27,9.380620540899287
2013-12-28,9.385000829600132
2013-12-29,9.389381118300978
2013-12-30,9.393761407001827
2013-12-31,9.398141695702671
2014-01-01,9.402521984403519
2014-01-02,9.397378463580553
2014-01-03,9.392234942757591
2014-01-04,9.387091421934628
2014-01-05,9.381947901111664
2014-01-06,9.376804380288702
2014-01-07,9.392069022731045
2014-01-08,9.407333665173386
2014-01-09,9.42259830761573
2014-01-10,9.437862950058072
2014-01-11,9.453127592500413
2014-01-12,9.468392234942757
2014-01-13,9.463248714119795
2014-01-14,9.429760522095018
2014-01-15,9.396272330070238
2014-01-16,9.36278413804546
2014-01-17,9.329295946020684
2014-01-18,9.306011835628558
2014-01-19,9.282727725236436
2014-01-20,9.300259941374923
2014-01-21,9.317792157513411
2014-01-22,9.34688899950224
2014-01-23,9.404330512692882
2014-01-24,9.461772025883525
2014-01-25,9.519213539074167
2014-01-26,9.576655052264808
2014-01-27,9.613688402190144
2014-01-28,9.650721752115482
2014-01-29,9.687755102040816
2014-01-30,9.688961038961038
2014-01-31,9.690166975881263
2014-02-01,9.681168831168831
2014-02-02,9.6721706864564
2014-02-03,9.683580705009277
2014-02-04,9.686062152133582
2014-02-05,9.688543599257885
2014-02-06,9.711433209647495
2014-02-07,9.740816326530611
2014-02-08,9.770199443413729
